scenario,baud_C,prop_us,ber,payload_B,filesize_B,transfer_s,R_bps,S_meas,S_theory,a,L_bits,run
FER,9600,0,0.0,1000,10968,13.13000,6682.71,0.6961,1.0000,0.000000,10160,1
FER,9600,0,0.0,1000,10968,13.72000,6395.34,0.6662,1.0000,0.000000,10160,2
FER,9600,0,0.0,1000,10968,15.99000,5487.43,0.5716,1.0000,0.000000,10160,3
FER,9600,0,0.0001,1000,10968,25.08000,3498.56,0.3644,0.3620,0.000000,10160,1
FER,9600,0,0.0001,1000,10968,31.72000,2766.20,0.2881,0.3620,0.000000,10160,2
FER,9600,0,0.0001,1000,10968,24.40000,3596.07,0.3746,0.3620,0.000000,10160,3
FER,9600,0,0.0002,1000,10968,67.61000,2610.65,0.2719,0.1320,0.000000,10160,1
FER,9600,0,0.0002,1000,10968,67.55000,1298.95,0.1353,0.1320,0.000000,10160,2
FER,9600,0,0.0002,1000,10968,67.35000,1302.81,0.1357,0.1320,0.000000,10160,3
PROP,9600,0,0.0,1000,10968,12.05000,7281.66,0.7585,1.0000,0.000000,10160,1
PROP,9600,0,0.0,1000,10968,12.31000,7127.86,0.7425,1.0000,0.000000,10160,2
PROP,9600,0,0.0,1000,10968,12.31000,7127.86,0.7425,1.0000,0.000000,10160,3
PROP,9600,5000,0.0,1000,10968,12.51000,7013.91,0.7306,0.9906,0.004724,10160,1
PROP,9600,5000,0.0,1000,10968,13.11000,6692.91,0.6972,0.9906,0.004724,10160,2
PROP,9600,5000,0.0,1000,10968,12.53000,7002.71,0.7294,0.9906,0.004724,10160,3
PROP,9600,20000,0.0,1000,10968,13.30000,6597.29,0.6872,0.9636,0.018898,10160,1
PROP,9600,20000,0.0,1000,10968,13.01000,6744.35,0.7025,0.9636,0.018898,10160,2
PROP,9600,20000,0.0,1000,10968,13.40000,6548.06,0.6821,0.9636,0.018898,10160,3
PROP,9600,50000,0.0,1000,10968,14.87000,5900.74,0.6147,0.9137,0.047244,10160,1
PROP,9600,50000,0.0,1000,10968,14.05000,6245.12,0.6505,0.9137,0.047244,10160,2
PROP,9600,50000,0.0,1000,10968,15.03000,5837.92,0.6081,0.9137,0.047244,10160,3
PROP,9600,100000,0.0,1000,10968,15.32000,5727.42,0.5966,0.8411,0.094488,10160,1
PROP,9600,100000,0.0,1000,10968,15.43000,5686.58,0.5924,0.8411,0.094488,10160,2
PROP,9600,100000,0.0,1000,10968,15.37000,5708.78,0.5947,0.8411,0.094488,10160,3
BAUD,4800,0,0.0,1000,10968,23.77000,3691.38,0.7690,1.0000,0.000000,10160,1
BAUD,4800,0,0.0,1000,10968,23.75000,3694.48,0.7697,1.0000,0.000000,10160,2
BAUD,4800,0,0.0,1000,10968,23.76000,3692.93,0.7694,1.0000,0.000000,10160,3
BAUD,9600,0,0.0,1000,10968,12.05000,7281.66,0.7585,1.0000,0.000000,10160,1
BAUD,9600,0,0.0,1000,10968,12.32000,7122.08,0.7419,1.0000,0.000000,10160,2
BAUD,9600,0,0.0,1000,10968,12.42000,7064.73,0.7359,1.0000,0.000000,10160,3
BAUD,19200,0,0.0,1000,10968,6.97000,12588.81,0.6557,1.0000,0.000000,10160,1
BAUD,19200,0,0.0,1000,10968,6.97000,12588.81,0.6557,1.0000,0.000000,10160,2
BAUD,19200,0,0.0,1000,10968,6.27000,13994.26,0.7289,1.0000,0.000000,10160,3
BAUD,38400,0,0.0,1000,10968,3.62000,24238.67,0.6312,1.0000,0.000000,10160,1
BAUD,38400,0,0.0,1000,10968,3.26000,26915.34,0.7009,1.0000,0.000000,10160,2
BAUD,38400,0,0.0,1000,10968,3.21000,27334.58,0.7118,1.0000,0.000000,10160,3
BAUD,57600,0,0.0,1000,10968,3.21000,27334.58,0.6816,1.0000,0.000000,10160,1
BAUD,57600,0,0.0,1000,10968,2.24000,39171.43,0.6801,1.0000,0.000000,10160,2
BAUD,57600,0,0.0,1000,10968,2.23000,39347.09,0.6831,1.0000,0.000000,10160,3
BAUD,115200,0,0.0,1000,10968,1.33000,65972.93,0.5727,1.0000,0.000000,10160,1
BAUD,115200,0,0.0,1000,10968,1.22000,71921.31,0.6243,1.0000,0.000000,10160,2
BAUD,115200,0,0.0,1000,10968,1.71000,51312.28,0.4454,1.0000,0.000000,10160,3
PAYLOAD,9600,0,0.0,128,10968,13.20000,6647.27,0.6924,1.0000,0.000000,1440,1
PAYLOAD,9600,0,0.0,128,10968,13.48000,6509.20,0.6780,1.0000,0.000000,1440,2
PAYLOAD,9600,0,0.0,128,10968,13.12000,6687.80,0.6966,1.0000,0.000000,1440,3
PAYLOAD,9600,0,0.0,256,10968,12.54000,6997.13,0.7289,1.0000,0.000000,2720,1
PAYLOAD,9600,0,0.0,256,10968,12.70000,6908.98,0.7197,1.0000,0.000000,2720,2
PAYLOAD,9600,0,0.0,256,10968,12.47000,7036.41,0.7330,1.0000,0.000000,2720,3
PAYLOAD,9600,0,0.0,512,10968,12.84000,6833.64,0.7118,1.0000,0.000000,5280,1
PAYLOAD,9600,0,0.0,512,10968,12.24000,7168.63,0.7467,1.0000,0.000000,5280,2
PAYLOAD,9600,0,0.0,512,10968,12.32000,7122.08,0.7419,1.0000,0.000000,5280,3
PAYLOAD,9600,0,0.0,800,10968,12.14000,7227.68,0.7529,1.0000,0.000000,8160,1
PAYLOAD,9600,0,0.0,800,10968,12.24000,7168.63,0.7467,1.0000,0.000000,8160,2
PAYLOAD,9600,0,0.0,800,10968,12.05000,7281.66,0.7585,1.0000,0.000000,8160,3
PAYLOAD,9600,0,0.0,1000,10968,12.25000,7162.78,0.7461,1.0000,0.000000,10160,1
PAYLOAD,9600,0,0.0,1000,10968,12.27000,7151.10,0.7449,1.0000,0.000000,10160,2
PAYLOAD,9600,0,0.0,1000,10968,12.61000,6958.29,0.7248,1.0000,0.000000,10160,3
